ArtistID,Name
1002,William Louis Sonntag
1003,Cornelius and Son
1004,James Bogardus
1005,Johannes Gottlob Clemm
1006,John Harris
1007,William Savage
1008,Loring Bailey
1009,N. Barlett
1010,Ebenezer Chittenden
1011,Erastus Cook
1012,William Cowell Jr.
1013,T. P. Drown
1014,Jeremiah Dummer
1015,William J. Elsworth
1016,Harland
1017,Daniel Henchman
1018,B. Ivers
1019,Thomas Kinney
1020,Matthias Lemaire
1021,J. W. Gethen
1022,S. Musgrove
1023,Frederick Oakes
1024,John Peabody
1025,"Paul Revere, III"
1026,Lucas Ryerson
1027,B. T.
1028,I. H.
1029,I. W.
1030,E. Whitehouse
1031,Edward Webb
1032,Henricus Boelen
1033,Canton Glass Company
1034,A. P. Folie
1035,William B. Durgin Company
1036,Karl Theodore Bitter
1037,Joseph Foster
1038,Alex Reckers
1039,John A. Ellis and Company
1040,Francis S. Low
1041,John S. Leake
1042,John Coburn
1043,Joseph Long Lehn
1044,Stenger Glass House
1045,John Bayly
1046,James C. Mackley
1047,John Nice
1048,W. H. T.
1049,Daniel Greenough
1050,William Pollard
1051,H. M. Nichols
1052,Walter Pitkin
1053,Joseph D. Chase
1054,William Grigg
1055,Hyde and Goodrich
1056,Benjamin Lemar (Lamar)
1057,Thomas Warner
1058,Bernard Wenman
1059,William Wilson White
1060,Robert Wilson
1061,Goldsmith Chandlee
1062,Josiah Miller
1063,John Heilig
1064,John Potter
1065,Bow China Manufactory
1066,Yale and Curtis
1067,I. C.
1068,A. and H. Lejambre
1069,Barent Ten Eyck
1070,Henry Pratt
1071,Richards and Williamson
1072,C. D. Sullivan and Company
1073,D. O.
1074,Jonathon Reed
1075,Benjamin Bagnall
1076,Samuel Bagnall
1077,Gawen Brown
1078,William Claggett
1079,Jacob Diehl
1080,James Dinsmore
1081,Isaac Doolittle
1082,Matthew Egerton Jr.
1083,Thomas Harland
1084,Henry Hill
1085,Joakim Hill
1086,William Huston
1087,Joseph Mulliken
1088,Nathan Storrs
1089,William Tomlinson
1090,Joseph Ward
1091,Benjamin Willard
1092,John Wood Sr.
1093,John Wood Jr.
1094,Reuben Swift
1095,Samuel Alexander
1096,John Hancock
1097,John Hastier
1098,John Le Roux
1099,Thomas Milner or Miller
1100,Gerrit Onckelbag
1101,Peter Quintard
1102,Erastus Dow Palmer
1103,Thomas Savage Sr.
1104,Bartholomew Schaats
1105,Andrew Underhill
1106,Jacob Marius Groen
1107,Jacobus Vander Spiegel
1108,William Vilant
1109,Browne and Seal
1110,Emick Romer
1111,Joseph Smith
1112,Derby Factory
1113,Jeronimus Alstyne
1114,American Pottery Manufacturing Company
1115,Gottfried Aust
1116,Simeon A. Bayley
1117,Abraham Dubois
1118,Jabez Halsey
1119,"Rogers, Smith and Company"
1120,John A. Schanck
1121,Samuel Simpson
1122,Eben Smith
1123,T. S.
1124,Joseph Warner
1125,Benjamin Wynkoop Jr.
1126,"Froggatt, Coldwell and Lean"
1127,Nicholas Burdock
1128,Nathaniel Coleman
1129,Joshua G. Davis
1130,T. Denison
1131,Thaddeus Keeler
1132,Marcus Merriman and Company
1133,Samuel Parmelee
1134,W. Terry
1135,A. H.
1136,G. E. E.
1137,S. R.
1138,W. M.
1139,Freeman Woods
1140,Patrick Martin
1141,Thomas Northcote
1142,I. L.
1143,Gilman Joslin
1144,Guy Green
1145,Arthur Osborne
1146,John Sadler
1147,Luxfer Prism Company
1148,Grueby Faience Company
1149,Samuel Burrill
1150,John Erwin
1151,John Boutier
1152,Ezekiel Burr
1153,M. Connell
1154,J. Cook
1155,Stephen Hardy
1156,J. Hutchinson
1157,Otto W. Parisen
1158,Phinney and Mead
1159,J. S. Porter
1160,Robert Swan
1161,Thomas Underhill
1162,C. & N.
1163,I. B.
1164,W. R.
1165,"Ward, Bartholomew and T [unknown]"
1166,James Dixon & Sons
1167,Cornelius Vander Burch
1168,Philip Goelet
